"year","month","model","registrations","market_share"
2024,8,"VOLKSWAGEN CADDY",0,0
2024,8,"VOLKSWAGEN UP!",0,0
2024,8,"VOLVO S60",0,0
2024,8,"VOLVO S90",0,0
2024,9,"TESLA MODEL Y",1211,7.8
2024,9,"SKODA ENYAQ IV",1006,6.5
2024,9,"TESLA MODEL 3",639,4.1
2024,9,"VOLKSWAGEN ID.4",564,3.6
2024,9,"NISSAN QASHQAI",482,3.1
2024,9,"FORD EXPLORER",424,2.7
2024,9,"VOLKSWAGEN ID.3",396,2.5
2024,9,"AUDI Q4 E-TRON",374,2.4
2024,9,"MERCEDES-BENZ EQA",340,2.2
2024,9,"VOLKSWAGEN POLO",331,2.1
2024,9,"TOYOTA YARIS",289,1.9
2024,9,"VOLKSWAGEN ID.7",288,1.9
2024,9,"VOLKSWAGEN T-ROC",254,1.6
2024,9,"BMW 3'ER",246,1.6
2024,9,"XPENG G6",221,1.4
2024,9,"AUDI A3",215,1.4
2024,9,"MERCEDES-BENZ EQB",201,1.3
2024,9,"RENAULT CLIO",179,1.1
2024,9,"MERCEDES-BENZ C-KLASSE",178,1.1
2024,9,"TOYOTA YARIS CROSS",171,1.1
2024,9,"NISSAN ARIYA",169,1.1
2024,9,"BYD DOLPHIN",159,1
2024,9,"AUDI Q2",154,1
2024,9,"TOYOTA COROLLA CROSS",151,1
2024,9,"VOLKSWAGEN ID.5",150,1
2024,9,"TOYOTA AYGO X",143,0.9
2024,9,"MERCEDES-BENZ A-KLASSE",142,0.9
2024,9,"VOLVO EX40",140,0.9
2024,9,"CUPRA BORN",134,0.9
2024,9,"SUZUKI SWIFT",134,0.9
2024,9,"BMW IX1",131,0.8
2024,9,"VOLKSWAGEN PASSAT",129,0.8
2024,9,"RENAULT SCENIC",128,0.8
2024,9,"BMW I5",125,0.8
2024,9,"PEUGEOT 2008",125,0.8
2024,9,"VOLVO EX30",119,0.8
2024,9,"SKODA KAMIQ",118,0.8
2024,9,"PEUGEOT 208",114,0.7
2024,9,"KIA EV6",113,0.7
2024,9,"MERCEDES-BENZ GLB",112,0.7
2024,9,"PEUGEOT 5008",107,0.7
2024,9,"FORD KUGA",105,0.7
2024,9,"SEAT IBIZA",105,0.7
2024,9,"TOYOTA BZ4X",105,0.7
2024,9,"PEUGEOT 3008",104,0.7
2024,9,"POLESTAR 4",103,0.7
2024,9,"HYUNDAI IONIQ 6",96,0.6
2024,9,"CUPRA FORMENTOR",95,0.6
2024,9,"DACIA SANDERO",92,0.6
2024,9,"SKODA FABIA",91,0.6
2024,9,"HYUNDAI IONIQ 5",88,0.6
2024,9,"AUDI Q6 E-TRON",87,0.6
2024,9,"HYUNDAI I10",85,0.5
2024,9,"FORD TOURNEO CUSTOM",83,0.5
2024,9,"MAZDA 2",83,0.5
2024,9,"CITROEN C3",80,0.5
2024,9,"XPENG G9",74,0.5
2024,9,"HYUNDAI KONA",72,0.5
2024,9,"MINI COUNTRYMAN",71,0.5
2024,9,"TOYOTA C-HR",70,0.4
2024,9,"OPEL CORSA",69,0.4
2024,9,"SKODA KAROQ",67,0.4
2024,9,"MERCEDES-BENZ EQE",65,0.4
2024,9,"AUDI Q5",63,0.4
2024,9,"POLESTAR 2",63,0.4
2024,9,"BMW 1'ER",62,0.4
2024,9,"VOLKSWAGEN MULTIVAN",60,0.4
2024,9,"RENAULT MEGANE E-TECH",59,0.4
2024,9,"FORD MUSTANG MACH-E",57,0.4
2024,9,"SUZUKI IGNIS",57,0.4
2024,9,"VOLKSWAGEN TIGUAN",56,0.4
2024,9,"BMW I4",52,0.3
2024,9,"BYD SEAL U",52,0.3
2024,9,"MAZDA MX-30",52,0.3
2024,9,"MERCEDES-BENZ EQE SUV",52,0.3
2024,9,"BMW IX3",51,0.3
2024,9,"BMW X1",51,0.3
2024,9,"BMW IX2",50,0.3
2024,9,"MERCEDES-BENZ GLA",50,0.3
2024,9,"OPEL MOKKA",48,0.3
2024,9,"AUDI Q3",47,0.3
2024,9,"BMW 4'ER",46,0.3
2024,9,"MERCEDES-BENZ CLA",46,0.3
2024,9,"BMW 5'ER",45,0.3
2024,9,"FIAT 500",45,0.3
2024,9,"HYUNDAI I20",43,0.3
2024,9,"MINI 3-DØRS",42,0.3
2024,9,"MERCEDES-BENZ E-KLASSE",41,0.3
2024,9,"VOLKSWAGEN TOURAN",41,0.3
2024,9,"HYUNDAI TUCSON",39,0.3
2024,9,"NISSAN X-TRAIL",37,0.2
2024,9,"SKODA SCALA",37,0.2
2024,9,"BYD SEAL",36,0.2
2024,9,"DACIA JOGGER",35,0.2
2024,9,"DS 7 CROSSBACK",34,0.2
2024,9,"HONDA E:NY1",34,0.2
2024,9,"PORSCHE MACAN",34,0.2
2024,9,"MERCEDES-BENZ GLC",32,0.2
2024,9,"SKODA OCTAVIA",31,0.2
2024,9,"KIA CEED",30,0.2
2024,9,"KIA NIRO",29,0.2
2024,9,"VOLVO XC60",28,0.2
2024,9,"BMW IX",27,0.2
2024,9,"BYD ATTO 3",24,0.2
2024,9,"SUZUKI SX4",24,0.2
2024,9,"SUZUKI VITARA",24,0.2
2024,9,"SEAT ARONA",23,0.1
2024,9,"VOLKSWAGEN T-CROSS",23,0.1
2024,9,"LEXUS LBX",22,0.1
2024,9,"VOLVO V60",22,0.1
2024,9,"CITROEN C3 AIRCROSS",21,0.1
2024,9,"MAZDA CX-30",21,0.1
2024,9,"MAZDA CX-5",21,0.1
2024,9,"HYUNDAI I30",20,0.1
2024,9,"POLESTAR 3",20,0.1
2024,9,"FORD TRANSIT CUSTOM",19,0.1
2024,9,"MG 4",19,0.1
2024,9,"MERCEDES-BENZ GLE",18,0.1
2024,9,"MG ZS",18,0.1
2024,9,"NISSAN JUKE",18,0.1
2024,9,"KIA STONIC",17,0.1
2024,9,"RENAULT CAPTUR",17,0.1
2024,9,"SKODA KODIAQ",17,0.1
2024,9,"KGM TORRES EVX",16,0.1
2024,9,"MERCEDES-BENZ SPRINTER",16,0.1
2024,9,"TOYOTA RAV4",16,0.1
