"year","month","brand","model","value"
2023,1,"JAGUAR","I-PACE",6
2023,1,"JAGUAR","XE",31
2023,1,"JAGUAR","XF",67
2023,1,"JEEP","COMPASS",149
2023,1,"JEEP","RENEGADE",375
2023,1,"JEEP","WRANGLER",135
2023,1,"KIA","CEED",1135
2023,1,"KIA","EV6",28
2023,1,"KIA","NIRO",67
2023,1,"KIA","PICANTO",518
2023,1,"KIA","RIO",389
2023,1,"KIA","SORENTO",177
2023,1,"KIA","SOUL",6
2023,1,"KIA","SPORTAGE",444
2023,1,"KIA","STINGER",37
2023,1,"KIA","STONIC",341
2023,1,"LADA","NIVA",18
2023,1,"LAMBORGHINI","URUS",42
2023,1,"LAND ROVER","DEFENDER",387
2023,1,"LAND ROVER","DISCOVERY",8
2023,1,"LAND ROVER","DISCOVERY SPORT",118
2023,1,"LAND ROVER","RANGE ROVER",91
2023,1,"LAND ROVER","RANGE ROVER EVOQUE",301
2023,1,"LAND ROVER","RANGE ROVER SPORT",113
2023,1,"LAND ROVER","RANGE ROVER VELAR",119
2023,1,"LEXUS","ES",19
2023,1,"LEXUS","LC",10
2023,1,"LEXUS","NX",73
2023,1,"LEXUS","UX",30
2023,1,"LOTUS",,11
2023,1,"LUCID",,2
2023,1,"LYNK & CO","01",410
2023,1,"MAN","TGE",120
2023,1,"MASERATI","GHIBLI",22
2023,1,"MASERATI","GRECALE",106
2023,1,"MASERATI","LEVANTE",15
2023,1,"MAZDA","2",615
2023,1,"MAZDA","3",186
2023,1,"MAZDA","6",159
2023,1,"MAZDA","CX-5",1313
2023,1,"MAZDA","CX-30",405
2023,1,"MAZDA","CX-60",54
2023,1,"MAZDA","MX-5",90
2023,1,"MAZDA","MX-30",504
2023,1,"MERCEDES","A-KLASSE",1343
2023,1,"MERCEDES","AMG GT",106
2023,1,"MERCEDES","B-KLASSE",370
2023,1,"MERCEDES","C-KLASSE",3478
2023,1,"MERCEDES","CITAN",633
2023,1,"MERCEDES","CLA-KLASSE",1505
2023,1,"MERCEDES","CLS",74
2023,1,"MERCEDES","E-KLASSE",1571
2023,1,"MERCEDES","E-KLASSE COUPE",404
2023,1,"MERCEDES","G-KLASSE",784
2023,1,"MERCEDES","GL-KLASSE, GLS",262
2023,1,"MERCEDES","GLA",1545
2023,1,"MERCEDES","GLB",1233
2023,1,"MERCEDES","GLK, GLC",2402
2023,1,"MERCEDES","ML-KLASSE, GLE",1239
2023,1,"MERCEDES","S-KLASSE",783
2023,1,"MERCEDES","SL",230
2023,1,"MERCEDES","SPRINTER",645
2023,1,"MERCEDES","V-KLASSE",2093
2023,1,"MERCEDES","VITO",735
2023,1,"MG ROEWE","4",227
2023,1,"MG ROEWE","5",44
2023,1,"MG ROEWE","MARVEL",61
2023,1,"MG ROEWE","RX6",11
2023,1,"MG ROEWE","ZS",140
2023,1,"MINI","MINI",1594
2023,1,"MITSUBISHI","ECLIPSE CROSS",45
2023,1,"MITSUBISHI","MIRAGE, SPACE STAR",620
2023,1,"MORGAN",,3
2023,1,"NIO",,1
2023,1,"NISSAN","ARIYA",24
2023,1,"NISSAN","JUKE",263
2023,1,"NISSAN","LEAF",39
2023,1,"NISSAN","MICRA",325
2023,1,"NISSAN","PRIMASTAR",61
2023,1,"NISSAN","QASHQAI",1068
2023,1,"NISSAN","TOWNSTAR",89
2023,1,"NISSAN","X-TRAIL",128
2023,1,"OPEL","ASTRA",1103
2023,1,"OPEL","COMBO",444
2023,1,"OPEL","CORSA",2765
2023,1,"OPEL","CROSSLAND X",637
2023,1,"OPEL","GRANDLAND X",402
2023,1,"OPEL","INSIGNIA",568
2023,1,"OPEL","MOKKA",1095
2023,1,"OPEL","ZAFIRA LIFE",313
2023,1,"PEUGEOT","208",583
2023,1,"PEUGEOT","308",316
2023,1,"PEUGEOT","408",126
2023,1,"PEUGEOT","508",36
2023,1,"PEUGEOT","2008",622
2023,1,"PEUGEOT","3008",219
2023,1,"PEUGEOT","5008",215
2023,1,"PEUGEOT","BOXER",248
2023,1,"PEUGEOT","EXPERT",60
2023,1,"PEUGEOT","RIFTER",314
2023,1,"POLESTAR","2",154
2023,1,"PORSCHE","911",836
2023,1,"PORSCHE","BOXSTER",103
2023,1,"PORSCHE","CAYENNE",585
2023,1,"PORSCHE","CAYMAN",92
2023,1,"PORSCHE","MACAN",740
2023,1,"PORSCHE","PANAMERA",106
2023,1,"PORSCHE","TAYCAN",534
2023,1,"RENAULT","ARKANA",467
2023,1,"RENAULT","AUSTRAL",230
2023,1,"RENAULT","CAPTUR",772
2023,1,"RENAULT","CLIO",848
2023,1,"RENAULT","ESPACE",10
2023,1,"RENAULT","KANGOO",134
2023,1,"RENAULT","KOLEOS",366
2023,1,"RENAULT","MEGANE",352
2023,1,"RENAULT","SCENIC",57
2023,1,"RENAULT","TRAFIC",139
2023,1,"RENAULT","TWINGO",129
2023,1,"RENAULT","ZOE",54
2023,1,"ROLLS ROYCE","CULLINAN",5
2023,1,"SEAT","ALHAMBRA",132
2023,1,"SEAT","ARONA",864
2023,1,"SEAT","ATECA",892
2023,1,"SEAT","BORN",281
2023,1,"SEAT","FORMENTOR",1468
2023,1,"SEAT","IBIZA",700
2023,1,"SEAT","LEON",1162
2023,1,"SEAT","TARRACO",88
2023,1,"SKODA","ENYAQ",729
2023,1,"SKODA","FABIA",2278
2023,1,"SKODA","KAMIQ",1630
2023,1,"SKODA","KAROQ",2145
2023,1,"SKODA","KODIAQ",1637
2023,1,"SKODA","OCTAVIA",3213
2023,1,"SKODA","SCALA",833
2023,1,"SKODA","SUPERB",1293
2023,1,"SMART","1",5
2023,1,"SMART","FORTWO",721
2023,1,"SSANGYONG","KORANDO",72
2023,1,"SSANGYONG","REXTON",52
2023,1,"SSANGYONG","TIVOLI",71
2023,1,"SUBARU","FORESTER",103
2023,1,"SUBARU","IMPREZA",5
2023,1,"SUBARU","OUTBACK",65
2023,1,"SUBARU","XV",59
2023,1,"SUZUKI","ACROSS",6
2023,1,"SUZUKI","IGNIS",465
2023,1,"SUZUKI","JIMNY",10
2023,1,"SUZUKI","SWACE",46
2023,1,"SUZUKI","SWIFT",460
2023,1,"SUZUKI","SX4",283
2023,1,"SUZUKI","VITARA",539
2023,1,"TESLA","MODEL 3",389
2023,1,"TESLA","MODEL S",96
2023,1,"TESLA","MODEL X",48
2023,1,"TESLA","MODEL Y",3708
