"year","month","country","brand","registrations"
2023,3,"switzerland","TESLA",1252
2023,4,"switzerland","TESLA",475
2023,5,"switzerland","TESLA",919
2023,6,"switzerland","TESLA",1374
2023,7,"switzerland","TESLA",453
2023,8,"switzerland","TESLA",795
2023,9,"switzerland","TESLA",991
2023,10,"switzerland","TESLA",310
2023,11,"switzerland","TESLA",792
2023,12,"switzerland","TESLA",1086
2024,1,"switzerland","TESLA",327
2024,2,"switzerland","TESLA",1003
2024,3,"switzerland","TESLA",1934
2024,4,"switzerland","TESLA",450
2024,5,"switzerland","TESLA",521
2024,6,"switzerland","TESLA",962
2024,7,"switzerland","TESLA",368
2024,8,"switzerland","TESLA",629
2024,9,"switzerland","TESLA",1048
2024,10,"switzerland","TESLA",260
2023,1,"uk","TESLA",579
2023,2,"uk","TESLA",2283
2023,3,"uk","TESLA",10493
2023,4,"uk","TESLA",1813
2023,5,"uk","TESLA",3439
2023,6,"uk","TESLA",7533
2023,7,"uk","TESLA",3141
2023,8,"uk","TESLA",4021
2023,9,"uk","TESLA",6427
2023,10,"uk","TESLA",2677
2023,11,"uk","TESLA",1648
2023,12,"uk","TESLA",5517
2024,1,"uk","TESLA",1581
2024,2,"uk","TESLA",3192
2024,3,"uk","TESLA",6995
2024,4,"uk","TESLA",1352
2024,5,"uk","TESLA",3152
2024,6,"uk","TESLA",6757
2024,7,"uk","TESLA",2462
2024,8,"uk","TESLA",3013
2024,9,"uk","TESLA",7656
2024,10,"uk","TESLA",971
2023,1,"usa","TESLA",53875
2023,2,"usa","TESLA",60325
2023,3,"usa","TESLA",58859
2023,5,"usa","TESLA",56785
2023,6,"usa","TESLA",59635
2023,7,"usa","TESLA",58142
2023,8,"usa","TESLA",58432
2023,9,"usa","TESLA",51451
2023,10,"usa","TESLA",50666
2023,11,"usa","TESLA",51100
2023,12,"usa","TESLA",56481
2024,1,"usa","TESLA",53830
2024,2,"usa","TESLA",54045
2024,3,"usa","TESLA",50467
2024,4,"usa","TESLA",47300
2024,5,"usa","TESLA",51635
2024,6,"usa","TESLA",54208
2024,7,"usa","TESLA",53002
2024,8,"usa","TESLA",53160
2024,10,"usa","TESLA",53175
2023,1,"spain","TESLA",357
2023,2,"spain","TESLA",671
2023,3,"spain","TESLA",1046
2023,4,"spain","TESLA",318
2023,5,"spain","TESLA",1160
2023,6,"spain","TESLA",1752
2023,7,"spain","TESLA",743
2023,8,"spain","TESLA",1456
2023,9,"spain","TESLA",727
2023,10,"spain","TESLA",754
2023,11,"spain","TESLA",2470
2023,12,"spain","TESLA",1788
2024,1,"spain","TESLA",1094
2024,2,"spain","TESLA",1020
2024,3,"spain","TESLA",1487
2024,4,"spain","TESLA",893
