"year","month","manufacturer","market_percent_total","total_registered"
2023,11,"HYUNDAI_GROUP",8.3,89076
2023,11,"KIA",4.1,43838
2023,11,"HYUNDAI",4.2,45238
2023,11,"BMW_GROUP",8,86587
2023,11,"BMW",6.5,69500
2023,11,"MINI",1.6,17087
2023,11,"TOYOTA_GROUP",6.4,68363
2023,11,"TOYOTA",5.9,63781
2023,11,"LEXUS",0.4,4582
2023,11,"MERCEDES_BENZ",5.8,62255
2023,11,"MERCEDES",5.5,59642
2023,11,"SMART",0.2,2613
2023,11,"FORD",3.6,38946
2023,11,"TESLA",3.4,36149
2023,11,"NISSAN",2.3,24854
2023,11,"VOLVO_CARS",2.5,26428
2023,11,"SUZUKI",1.5,15782
2023,11,"MAZDA",1.4,14795
2023,11,"JAGUAR_LAND_ROVER_GROUP",1.2,12815
2023,11,"LAND_ROVER",1,10475
2023,11,"JAGUAR",0.2,2340
2023,11,"HONDA",0.5,5473
2023,11,"MITSUBISHI",0.4,4827
2023,12,"VOLKSWAGEN_GROUP",26,273176
2023,12,"VOLKSWAGEN",11.1,116075
2023,12,"AUDI",5.4,56272
2023,12,"SKODA",5.1,53906
2023,12,"SEAT",1.9,20135
2023,12,"CUPRA",1.9,19443
2023,12,"PORSCHE",0.7,6840
2023,12,"STELLANTIS",13,136016
2023,12,"PEUGEOT",3.7,38652
2023,12,"OPEL_VAUXHALL",3,30948
2023,12,"FIAT",2.4,25522
2023,12,"CITROEN",2.1,21884
2023,12,"JEEP",0.9,9212
2023,12,"ALFA_ROMEO",0.3,3459
2023,12,"DS",0.3,2784
2023,12,"LANCIA_CHRYSLER",0.3,3018
2023,12,"RENAULT_GROUP",10.6,111635
2023,12,"RENAULT",6.3,65744
2023,12,"DACIA",4.3,45184
2023,12,"ALPINE",0.1,707
2023,12,"HYUNDAI_GROUP",7.3,77059
2023,12,"KIA",3.3,34252
2023,12,"HYUNDAI",4.1,42807
2023,12,"BMW_GROUP",8.6,90662
2023,12,"BMW",6.9,72444
2023,12,"MINI",1.7,18219
2023,12,"TOYOTA_GROUP",6.8,71449
2023,12,"TOYOTA",6.3,65637
2023,12,"LEXUS",0.6,5812
2023,12,"MERCEDES_BENZ",6.7,70223
2023,12,"MERCEDES",6.4,67144
2023,12,"SMART",0.3,3079
2023,12,"FORD",3.4,35318
2023,12,"TESLA",3.7,38973
2023,12,"NISSAN",2.4,25041
2023,12,"VOLVO_CARS",2.9,30478
2023,12,"SUZUKI",1.5,15219
2023,12,"MAZDA",1.4,14748
2023,12,"JAGUAR_LAND_ROVER_GROUP",1.1,11598
2023,12,"LAND_ROVER",0.9,9853
2023,12,"JAGUAR",0.2,1745
2023,12,"HONDA",0.4,4477
2023,12,"MITSUBISHI",0.4,4227
2024,1,"VOLKSWAGEN_GROUP",25.4,258402
2024,1,"VOLKSWAGEN",9.4,95498
2024,1,"SKODA",5.8,59000
2024,1,"AUDI",5.2,53065
2024,1,"SEAT",2.5,24912
2024,1,"CUPRA",1.6,16154
2024,1,"PORSCHE",0.9,9153
2024,1,"STELLANTIS",18,183120
2024,1,"PEUGEOT",5.7,57447
2024,1,"OPEL_VAUXHALL",3.9,39305
2024,1,"CITROEN",3.2,32646
2024,1,"FIAT",2.9,29470
2024,1,"JEEP",1.2,12141
2024,1,"ALFA_ROMEO",0.4,3953
2024,1,"LANCIA_CHRYSLER",0.4,3917
2024,1,"DS",0.4,3715
2024,1,"RENAULT_GROUP",9.2,92935
2024,1,"DACIA",5.1,51673
2024,1,"RENAULT",4,41050
2024,1,"ALPINE",0,212
2024,1,"HYUNDAI_GROUP",8.5,86525
2024,1,"KIA",4.4,44737
2024,1,"HYUNDAI",4.1,41788
2024,1,"TOYOTA_GROUP",8.2,83420
2024,1,"TOYOTA",7.7,78314
2024,1,"LEXUS",0.5,5106
2024,1,"BMW_GROUP",7.1,72259
2024,1,"BMW",6,60781
2024,1,"MINI",1.1,11478
2024,1,"MERCEDES_BENZ",4.2,42258
2024,1,"MERCEDES",4,40869
2024,1,"SMART",0.1,1389
2024,1,"FORD",3.5,35603
2024,1,"NISSAN",2.6,26839
2024,1,"VOLVO_CARS",2.6,26033
2024,1,"TESLA",1.7,17493
2024,1,"SAIC_MOTOR",1.7,16776
2024,1,"SUZUKI",1.6,15795
2024,1,"MAZDA",1.2,12582
2024,1,"JAGUAR_LAND_ROVER_GROUP",1.2,12206
2024,1,"LAND_ROVER",1,10351
2024,1,"JAGUAR",0.2,1855
2024,1,"HONDA",0.6,5966
2024,1,"MITSUBISHI",0.5,4911
2024,2,"VOLKSWAGEN_GROUP",25.7,255962
2024,2,"VOLKSWAGEN",9.7,96291
2024,2,"SKODA",5.8,57962
2024,2,"AUDI",4.7,46467
2024,2,"SEAT",2.9,28509
2024,2,"CUPRA",1.7,16925
2024,2,"PORSCHE",0.9,9265
2024,2,"STELLANTIS",18.7,185897
2024,2,"PEUGEOT",5.8,58080
2024,2,"OPEL_VAUXHALL",3.4,34191
2024,2,"CITROEN",3.7,36663
2024,2,"FIAT",3.4,34003
2024,2,"JEEP",1.1,11260
2024,2,"LANCIA_CHRYSLER",0.4,4157
2024,2,"ALFA_ROMEO",0.4,3601
2024,2,"DS",0.4,3533
2024,2,"RENAULT_GROUP",9.7,96692
2024,2,"DACIA",4.7,46839
2024,2,"RENAULT",5,49552
2024,2,"ALPINE",0,301
2024,2,"HYUNDAI_GROUP",8,79130
2024,2,"KIA",3.9,39079
2024,2,"HYUNDAI",4,40051
2024,2,"TOYOTA_GROUP",7.5,74895
2024,2,"TOYOTA",7,70149
2024,2,"LEXUS",0.5,4746
2024,2,"BMW_GROUP",6.2,61536
2024,2,"BMW",5.1,50744
2024,2,"MINI",1.1,10792
2024,2,"MERCEDES_BENZ",4.9,48982
2024,2,"MERCEDES",4.7,46700
2024,2,"SMART",0.2,2282
2024,2,"FORD",3.3,32643
2024,2,"VOLVO_CARS",2.7,26884
2024,2,"NISSAN",2.4,23834
2024,2,"TESLA",2.8,28211
2024,2,"SUZUKI",1.8,18142
2024,2,"SAIC_MOTOR",1.6,16148
2024,2,"MAZDA",1.2,12262
2024,2,"JAGUAR_LAND_ROVER_GROUP",0.8,7973
2024,2,"LAND_ROVER",0.7,6665
2024,2,"JAGUAR",0.1,1308
2024,2,"MITSUBISHI",0.6,5837
2024,2,"HONDA",0.5,5414
2024,3,"VOLKSWAGEN_GROUP",23.4,323773
2024,3,"VOLKSWAGEN",9.3,128716
2024,3,"SKODA",4.9,67460
2024,3,"AUDI",4.7,64952
2024,3,"SEAT",2,28346
2024,3,"CUPRA",1.5,20951
2024,3,"PORSCHE",0.9,12503
2024,3,"STELLANTIS",16.5,228740
2024,3,"PEUGEOT",5,68786
2024,3,"OPEL_VAUXHALL",3.5,48445
2024,3,"CITROEN",3.3,45515
2024,3,"FIAT",2.7,37657
2024,3,"JEEP",1,13426
2024,3,"LANCIA_CHRYSLER",0.4,4889
2024,3,"ALFA_ROMEO",0.4,5019
2024,3,"DS",0.3,4281
2024,3,"RENAULT_GROUP",8.9,123603
2024,3,"RENAULT",5.1,70144
2024,3,"DACIA",3.8,52993
2024,3,"ALPINE",0,466
2024,3,"HYUNDAI_GROUP",8.1,112692
2024,3,"KIA",4.3,59335
2024,3,"HYUNDAI",3.9,53357
2024,3,"TOYOTA_GROUP",7.4,102400
2024,3,"TOYOTA",6.9,95358
2024,3,"LEXUS",0.5,7042
2024,3,"BMW_GROUP",7,96961
2024,3,"BMW",5.8,80371
2024,3,"MINI",1.2,16589
2024,3,"MERCEDES_BENZ",5.9,81717
2024,3,"MERCEDES",5.7,79422
2024,3,"SMART",0.2,2295
2024,3,"FORD",3.5,48161
2024,3,"NISSAN",3.8,51988
2024,3,"VOLVO_CARS",2.8,38582
2024,3,"TESLA",2.9,40109
2024,3,"SAIC_MOTOR",1.9,25992
