"year","month","model","ytd_registrations","ytd_market_share"
2024,5,"AUDI_Q4",820,4.7
2024,5,"BMW_X1",772,4.4
2024,5,"TESLA_MODEL_3",751,4.3
2024,5,"SKODA_ENYAQ",591,3.4
2024,5,"MG_4",580,3.3
2024,5,"CUPRA_BORN",552,3.2
2024,5,"BYD_SEAL",524,3
2024,5,"VW_ID.4",473,2.7
2024,5,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",8788,50.3
2024,6,"TESLA_MODEL_Y",3197,14.4
2024,6,"BMW_I4",1267,5.7
2024,6,"TESLA_MODEL_3",1171,5.3
2024,6,"AUDI_Q4",973,4.4
2024,6,"BMW_X1",939,4.2
2024,6,"BYD_ATTO",854,3.9
2024,6,"CUPRA_BORN",696,3.1
2024,6,"BYD_SEAL",683,3.1
2024,6,"VW_ID.4",683,3.1
2024,6,"MG_4",675,3
2024,6,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",11040,49.8
2024,7,"TESLA_MODEL_Y",3398,13.5
2024,7,"BMW_I4",1431,5.7
2024,7,"TESLA_MODEL_3",1206,4.8
2024,7,"BMW_X1",1166,4.6
2024,7,"AUDI_Q4",1112,4.4
2024,7,"BYD_SEAL",889,3.5
2024,7,"CUPRA_BORN",873,3.5
2024,7,"BYD_ATTO",866,3.4
2024,7,"SKODA_ENYAQ",852,3.4
2024,7,"VW_ID.4",837,3.3
2024,7,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",12481,49.7
2024,8,"TESLA_MODEL_Y",3758,13.3
2024,8,"BMW_I4",1583,5.6
2024,8,"BMW_X1",1435,5.1
2024,8,"TESLA_MODEL_3",1240,4.4
2024,8,"AUDI_Q4",1201,4.3
2024,8,"BYD_SEAL",1179,4.2
2024,8,"SKODA_ENYAQ",1030,3.7
2024,8,"CUPRA_BORN",1008,3.6
2024,8,"VW_ID.4",911,3.2
2024,8,"BYD_ATTO",878,3.1
2024,8,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",13988,49.6
2024,9,"TESLA_MODEL_Y",4413,13.5
2024,9,"BMW_I4",1692,5.2
2024,9,"BMW_X1",1662,5.1
2024,9,"TESLA_MODEL_3",1520,4.7
2024,9,"BYD_SEAL",1477,4.5
2024,9,"SKODA_ENYAQ",1408,4.3
2024,9,"AUDI_Q4",1331,4.1
2024,9,"CUPRA_BORN",1127,3.5
2024,9,"VW_ID.4",1042,3.2
2024,9,"BYD_ATTO",887,2.7
2024,9,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",16073,49.3
2024,10,"TESLA_MODEL_Y",4582,12.5
2024,10,"BMW_X1",1889,5.2
2024,10,"BYD_SEAL",1836,5
2024,10,"BMW_I4",1830,5
2024,10,"SKODA_ENYAQ",1745,4.8
2024,10,"TESLA_MODEL_3",1620,4.4
2024,10,"AUDI_Q4",1441,3.9
2024,10,"CUPRA_BORN",1248,3.4
2024,10,"VW_ID.4",1217,3.3
2024,10,"VOLVO_EX30",909,2.5
2024,10,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",18305,50
2024,11,"TESLA_MODEL_Y",4882,12.1
2024,11,"SKODA_ENYAQ",2107,5.2
2024,11,"BMW_X1",2093,5.2
2024,11,"BYD_SEAL",2089,5.2
2024,11,"BMW_I4",1943,4.8
2024,11,"TESLA_MODEL_3",1751,4.3
2024,11,"AUDI_Q4",1529,3.8
2024,11,"CUPRA_BORN",1436,3.6
2024,11,"VW_ID.4",1379,3.4
2024,11,"VOLVO_EX30",971,2.4
2024,11,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",20179,50
2024,12,"TESLA_MODEL_Y",5470,12.3
2024,12,"BYD_SEAL",2383,5.3
2024,12,"SKODA_ENYAQ",2310,5.2
2024,12,"BMW_X1",2291,5.1
2024,12,"BMW_I4",2086,4.7
2024,12,"TESLA_MODEL_3",2077,4.7
2024,12,"AUDI_Q4",1599,3.6
2024,12,"VW_ID.4",1527,3.4
2024,12,"CUPRA_BORN",1497,3.4
2024,12,"VOLVO_EX30",1112,2.5
2024,12,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",22270,49.9
2025,1,"BYD_SEAL",333,8.7
2025,1,"AUDI_Q6",197,5.2
2025,1,"SKODA_ENYAQ",195,5.1
2025,1,"RENAULT_R5",182,4.8
2025,1,"BMW_X1",168,4.4
2025,1,"TESLA_MODEL_Y",147,3.8
2025,1,"VW_ID.4",128,3.3
2025,1,"CUPRA_BORN",125,3.3
2025,1,"KIA_EV3",119,3.1
2025,1,"VW_ID.7",106,2.8
2025,1,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",2122,55.5
2025,2,"BYD_SEAL",552,6.9
2025,2,"RENAULT_R5",419,5.2
2025,2,"AUDI_Q6",349,4.3
2025,2,"BMW_X1",337,4.2
2025,2,"SKODA_ENYAQ",337,4.2
