"year","month","brand","model","ytd_registrations","ytd_market_share"
2023,5,"VOLKSWAGEN","ID.3",601,2.3
2023,5,"OPEL","CORSA",597,2.2
2023,5,"MINI","MINI",493,1.8
2023,5,"PEUGEOT","2008",474,1.8
2023,5,"POLESTAR","POLESTAR 2",435,1.6
2023,5,"CUPRA","BORN",432,1.6
2023,5,"VOLKSWAGEN","ID.4",388,1.5
2023,5,"VOLVO","XC40",384,1.4
2023,5,"BMW","IX1",377,1.4
2023,5,"MERCEDES","EQA",344,1.3
2023,5,"OPEL","MOKKA",344,1.3
2023,5,"VOLKSWAGEN","ID.5",313,1.2
2023,5,"BMW","I4",308,1.2
2023,5,"HYUNDAI","KONA",281,1.1
2023,5,"MG","MARVEL R",234,0.9
2023,5,"TESLA","MODEL S",230,0.9
2023,5,"FORD","MUSTANG MK-E",228,0.9
2023,5,"RENAULT","ZOE",217,0.8
2023,5,"JEEP","AVENGER",196,0.7
2023,5,"BMW","IX",184,0.7
2023,5,"BMW","IX3",182,0.7
2023,5,"NISSAN","LEAF",182,0.7
2023,5,"CITROEN","C4",181,0.7
2023,5,"MERCEDES","EQB",158,0.6
2023,5,"TOYOTA","PROACE CITY",149,0.6
2023,5,"TESLA","MODEL X",140,0.5
2023,5,"FIAT","DOBLO",133,0.5
2023,5,"VOLKSWAGEN","ID BUZZ",132,0.5
2023,5,"KIA","EV6",131,0.5
2023,5,"SKODA","ENYAQ",128,0.5
2023,5,"KIA","NIRO",125,0.5
2023,5,"VOLVO","C40",121,0.5
2023,5,"AUDI","Q8",114,0.4
2023,5,"HYUNDAI","IONIQ 5",112,0.4
2023,5,"PORSCHE","TAYCAN",108,0.4
2023,5,"CITROEN","C4 X",101,0.4
2023,5,"MERCEDES","EQE",89,0.3
2023,5,"MAZDA","MX-30",75,0.3
2023,5,"MG","ZS",66,0.2
2023,5,"DS","DS3",64,0.2
2023,5,"NISSAN","ARIYA",60,0.2
2023,5,"MERCEDES","EQS",55,0.2
2023,5,"CITROEN","BERLINGO",47,0.2
2023,5,"FIAT","ULYSSE",43,0.2
2023,5,"AUDI","E-TRON GT",42,0.2
2023,5,"MG","MG5",39,0.1
2023,5,"TOYOTA","PROACE VERSO",36,0.1
2023,5,"AUDI","E-TRON",30,0.1
2023,5,"JAGUAR","I-PACE",30,0.1
2023,5,"HYUNDAI","IONIQ 6",27,0.1
2023,5,"MERCEDES","EQC",27,0.1
2023,5,"LEXUS","RZ",24,0.1
2023,5,"BYD","ATTO 3",21,0.1
2023,5,"BMW","I7",20,0.1
2023,5,"HONDA","E",20,0.1
2023,5,"TOYOTA","BZ4X",20,0.1
2023,5,"SUBARU","SOLTERRA",17,0.1
2023,5,"CITROEN","SPACETOURER",16,0.1
2023,5,"SMART","#1",15,0.1
2023,5,"DR","EQ1",14,0.1
2023,5,"PEUGEOT","RIFTER",14,0.1
2023,5,"MELEX","378",13,0
2023,5,"ISSIMA","SAETTA",11,0
2023,5,"MELEX","N.CAR",10,0
2023,6,"TESLA","MODEL Y",4833,14.7
2023,6,"TESLA","MODEL 3",3241,9.9
2023,6,"FIAT","500",2870,8.7
2023,6,"SMART","FORTWO",2437,7.4
2023,6,"MG","MG4",1235,3.8
2023,6,"RENAULT","TWINGO",1170,3.6
2023,6,"RENAULT","MEGANE",1128,3.4
2023,6,"PEUGEOT","208",1057,3.2
