"year","month","region","country","registrations"
2023,12,"EUROPE","NORWAY",1768
2024,1,"EUROPE","NORWAY",1109
2024,2,"EUROPE","NORWAY",1778
2024,3,"EUROPE","NORWAY",2234
2024,4,"EUROPE","NORWAY",873
2024,5,"EUROPE","NORWAY",832
2024,6,"EUROPE","NORWAY",3672
2024,7,"EUROPE","NORWAY",457
2024,8,"EUROPE","NORWAY",2485
2024,9,"EUROPE","NORWAY",4210
2024,10,"EUROPE","NORWAY",1348
2024,11,"EUROPE","NORWAY",2258
2024,12,"EUROPE","NORWAY",3003
2025,1,"EUROPE","NORWAY",689
2025,2,"EUROPE","NORWAY",917
2025,3,"EUROPE","NORWAY",2211
2023,1,"EUROPE","POLAND",53
2023,2,"EUROPE","POLAND",260
2023,3,"EUROPE","POLAND",733
2023,4,"EUROPE","POLAND",310
2023,5,"EUROPE","POLAND",387
2023,6,"EUROPE","POLAND",574
2023,7,"EUROPE","POLAND",202
2023,8,"EUROPE","POLAND",508
2023,9,"EUROPE","POLAND",367
2023,10,"EUROPE","POLAND",256
2023,11,"EUROPE","POLAND",555
2023,12,"EUROPE","POLAND",429
2024,1,"EUROPE","POLAND",201
2024,2,"EUROPE","POLAND",432
2024,3,"EUROPE","POLAND",631
2024,4,"EUROPE","POLAND",249
2024,5,"EUROPE","POLAND",367
2024,6,"EUROPE","POLAND",838
2024,7,"EUROPE","POLAND",179
2024,8,"EUROPE","POLAND",172
2024,9,"EUROPE","POLAND",587
2024,10,"EUROPE","POLAND",184
2024,11,"EUROPE","POLAND",229
2024,12,"EUROPE","POLAND",392
2025,1,"EUROPE","POLAND",103
2025,2,"EUROPE","POLAND",194
2025,3,"EUROPE","POLAND",602
2023,1,"EUROPE","PORTUGAL",230
2023,2,"EUROPE","PORTUGAL",876
2023,3,"EUROPE","PORTUGAL",990
2023,4,"EUROPE","PORTUGAL",282
2023,5,"EUROPE","PORTUGAL",867
2023,6,"EUROPE","PORTUGAL",862
2023,7,"EUROPE","PORTUGAL",496
2023,8,"EUROPE","PORTUGAL",1167
2023,9,"EUROPE","PORTUGAL",354
2023,10,"EUROPE","PORTUGAL",256
2023,11,"EUROPE","PORTUGAL",1765
2023,12,"EUROPE","PORTUGAL",1183
2024,1,"EUROPE","PORTUGAL",549
2024,2,"EUROPE","PORTUGAL",1155
2024,3,"EUROPE","PORTUGAL",1184
2024,4,"EUROPE","PORTUGAL",451
2024,5,"EUROPE","PORTUGAL",906
2024,6,"EUROPE","PORTUGAL",1225
2024,7,"EUROPE","PORTUGAL",551
2024,8,"EUROPE","PORTUGAL",181
2024,9,"EUROPE","PORTUGAL",1025
2024,10,"EUROPE","PORTUGAL",349
2024,11,"EUROPE","PORTUGAL",801
2024,12,"EUROPE","PORTUGAL",1383
2025,1,"EUROPE","PORTUGAL",389
2025,2,"EUROPE","PORTUGAL",547
2025,3,"EUROPE","PORTUGAL",1209
2023,1,"EUROPE","SWEDEN",225
2023,2,"EUROPE","SWEDEN",518
2023,3,"EUROPE","SWEDEN",3940
2023,4,"EUROPE","SWEDEN",742
2023,5,"EUROPE","SWEDEN",2477
2023,6,"EUROPE","SWEDEN",3034
2023,7,"EUROPE","SWEDEN",492
2023,8,"EUROPE","SWEDEN",1717
2023,9,"EUROPE","SWEDEN",3164
2023,10,"EUROPE","SWEDEN",721
2023,11,"EUROPE","SWEDEN",1512
