"year","month","brand","ytd_registrations","ytd_market_share"
2024,6,"HYUNDAI",212,2.3925064891095813
2024,7,"TESLA",2897,28.93527766679984
2024,7,"VOLVO",976,9.748302037554934
2024,7,"MERCEDES-BENZ",867,8.659608469836197
2024,7,"BMW",689,6.881741909708349
2024,7,"AUDI",631,6.302437075509388
2024,7,"KIA",611,6.102676787854574
2024,7,"VOLKSWAGEN",516,5.1538154214942065
2024,7,"NISSAN",351,3.5057930483419897
2024,7,"MG",300,2.9964043148222133
2024,7,"HYUNDAI",289,2.8865361566120655
2024,8,"TESLA",3069,27.92
2024,8,"VOLVO",1054,9.59
2024,8,"MERCEDES-BENZ",986,8.97
2024,8,"BMW",775,7.049999999999999
2024,8,"AUDI",714,6.5
2024,8,"KIA",659,6
2024,8,"VOLKSWAGEN",558,5.08
2024,8,"NISSAN",440,4
2024,8,"HYUNDAI",336,3.06
2024,8,"MG",327,2.98
2024,9,"TESLA",3656,29.25502120508922
2024,9,"VOLVO",1131,9.05017204128991
2024,9,"MERCEDES-BENZ",1099,8.79411058654077
2024,9,"BMW",876,7.009682323757701
2024,9,"AUDI",814,6.513563255181245
2024,9,"KIA",704,5.633352004481075
2024,9,"VOLKSWAGEN",612,4.897175322077298
2024,9,"NISSAN",490,3.920941025846203
2024,9,"HYUNDAI",378,3.024725934224214
2024,9,"MG",343,2.744658718092342
2024,10,"TESLA",3840,28.14630213296196
2024,10,"MERCEDES-BENZ",1218,8.927655207798871
2024,10,"VOLVO",1178,8.634464560580518
2024,10,"BMW",983,7.2051601553910425
2024,10,"AUDI",906,6.640768159495712
2024,10,"KIA",759,5.563292530968262
2024,10,"VOLKSWAGEN",667,4.8889540423660485
2024,10,"NISSAN",527,3.8627867771018107
2024,10,"HYUNDAI",426,3.122480392875467
2024,10,"MG",369,2.7046837205893133
2024,11,"TESLA",4069,27.448731786292495
2024,11,"MERCEDES-BENZ",1362,9.18780356179169
2024,11,"VOLVO",1241,8.371559633027523
2024,11,"BMW",1076,7.258499730167296
2024,11,"AUDI",969,6.536697247706422
2024,11,"KIA",890,6.003777657852131
2024,11,"VOLKSWAGEN",738,4.9784133837021045
2024,11,"NISSAN",547,3.6899622234214786
2024,11,"HYUNDAI",467,3.1502968159740963
2024,11,"MG",381,2.5701565029681595
2024,12,"TESLA",4461,26.931900507123885
2024,12,"MERCEDES-BENZ",1641,9.907027288094664
2024,12,"VOLVO",1265,7.6370441922241
2024,12,"BMW",1242,7.498188843274571
2024,12,"AUDI",1019,6.1518956773726154
2024,12,"KIA",1017,6.139821299203091
2024,12,"VOLKSWAGEN",791,4.775416566046848
2024,12,"NISSAN",598,3.6102390726877562
2024,12,"HYUNDAI",520,3.13933832407631
2024,12,"RENAULT",405,2.4450615793286645
2025,1,"KIA",196,17.484388938447815
2025,1,"MERCEDES-BENZ",126,11.239964317573595
2025,1,"HYUNDAI",117,10.437109723461194
2025,1,"TESLA",103,9.18822479928635
2025,1,"BMW",68,6.066012488849242
2025,1,"VOLVO",66,5.887600356824264
2025,1,"AUDI",57,5.084745762711865
2025,1,"DACIA",54,4.817127564674398
2025,1,"BYD",45,4.014272970561998
2025,1,"CUPRA",42,3.746654772524532
2025,2,"KIA",324,11.587982832618025
2025,2,"TESLA",297,10.622317596566523
2025,2,"DACIA",289,10.336194563662374
2025,2,"HYUNDAI",222,7.939914163090128
2025,2,"MERCEDES-BENZ",207,7.4034334763948495
2025,2,"NISSAN",190,6.795422031473533
2025,2,"BMW",143,5.1144492131616595
2025,2,"VOLVO",142,5.078683834048641
2025,2,"AUDI",135,4.828326180257511
2025,2,"VOLKSWAGEN",106,3.7911301859799713
2025,3,"TESLA",899,17.603289602506365
2025,3,"KIA",537,10.514979439984335
2025,3,"MERCEDES-BENZ",373,7.30370080281966
2025,3,"DACIA",320,6.265909535931074
2025,3,"HYUNDAI",310,6.070099862933229
2025,3,"BMW",270,5.286861170941845
2025,3,"NISSAN",262,5.1302134325435675
2025,3,"AUDI",261,5.110632465243783
2025,3,"VOLVO",210,4.112003132954769
2025,3,"MINI",167,3.2700215390640297
